post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
151870169.all-about-psychology-newsletter-07f,2024-11-19T14:54:16.546Z,true,2024-11-19T14:54:16.599Z,2024-11-19T14:54:16.599Z,newsletter,everyone,All About Psychology Newsletter,"Dark Empaths. Flashed Face Distortion Effect. The Magical Number Seven, Plus or Minus Two. Here’s Looking At You, Mihaly! Behavior Triggers.",
151641259.think-again-discovering-new-insights,2024-11-14T12:24:42.376Z,true,2024-11-14T12:24:42.435Z,2024-11-14T12:24:42.435Z,newsletter,everyone,Think Again: Discovering New Insights by Turning Ideas on Their Head,,
151496548.why-do-we-see-faces-everywhere,2024-11-11T13:35:50.360Z,true,2024-11-11T13:35:50.512Z,2024-11-11T13:35:50.512Z,newsletter,everyone,Why Do We See Faces Everywhere?,,
151203047.all-about-psychology-newsletter-f1c,2024-11-05T18:35:25.185Z,true,2024-11-05T18:35:25.354Z,2024-11-05T18:35:25.354Z,newsletter,everyone,All About Psychology Newsletter,Haven’t We Met Before? On Doppelgangers And Perception. The Virtual Barber Shop. Persons or Science? A Philosophical Question. Asking for a friend. ,
151072392.unveiling-the-psychology-behind-music,2024-11-02T17:36:07.912Z,true,2024-11-02T17:36:08.004Z,2024-11-02T17:36:08.004Z,newsletter,everyone,Unveiling the Psychology Behind Music Reaction Videos,A New Frontier for Research,
150936658.halloween-newsletter,2024-10-31T11:38:08.085Z,true,2024-10-31T11:38:08.153Z,2024-10-31T11:38:08.153Z,newsletter,everyone,Halloween Newsletter,Ouija Boards. Studying the Paranormal. Anomalistic Psychology. Did You Know? Spooky Optical Illusion Art.,
150881494.the-only-thing-we-have-to-fear-is,2024-10-29T12:16:29.629Z,true,2024-10-29T12:16:29.754Z,2024-10-29T12:16:29.754Z,newsletter,everyone,The Only Thing We Have to Fear Is Fear Itself,"Well, That and John. B. Watson in a Clown Mask!",
150755766.martians-panic-and-halloween-hysteria,2024-10-26T14:31:44.898Z,true,2024-10-26T14:31:45.017Z,2024-10-26T14:31:45.017Z,newsletter,everyone,"Martians, Panic, and Halloween Hysteria",The Real Story Behind The War of the Worlds Broadcast,
150607380.all-about-psychology-newsletter-b58,2024-10-23T18:11:32.897Z,true,2024-10-23T18:11:33.153Z,2024-10-23T18:11:33.153Z,newsletter,everyone,All About Psychology Newsletter,Why Are We So Scared of Clowns? A Psychological Analysis of Adolf Hitler. Shared Insights: Curing Crime. The Negativity Bias.,
150472706.houdinis-halloween-legacy,2024-10-20T14:39:21.099Z,true,2024-10-20T14:39:21.278Z,2024-10-20T14:39:21.278Z,newsletter,everyone,Houdini’s Halloween Legacy,Unveiling the Tricks of Spirit Fakers and the Truth Behind His Death,
150413550.all-about-psychology-newsletter-64a,2024-10-18T18:51:05.467Z,true,2024-10-18T18:51:05.623Z,2024-10-18T18:51:05.623Z,newsletter,everyone,All About Psychology Newsletter,Why Does it Feel Good to See Someone Fail? Serial Killer Myths. The Laws of Connection. The Availability Heuristic.,
